item_name,count
Super G Unisex Joggers,145
Google Crewneck Sweatshirt Navy,119
Google Heathered Pom Beanie,110
Google Camp Mug Ivory,105
Google Zip Hoodie F/C,103
Google Red Speckled Tee,103
(not set),94
Google Land & Sea Cotton Cap,93
Google Camp Mug Gray,84
Google Canteen Bottle Black,77
Google Crew Socks,70
Google Clear Pen 4-Pack,69
Google F/C Longsleeve Ash,66
Google Perk Thermal Tumbler,65
Google Flat Front Bag Grey,64
Google Metallic Notebook Set,62
Google Sunglasses,60
Google Laptop and Cell Phone Stickers,59
Android Iconic Crewneck Sweatshirt,59
Google Badge Heavyweight Pullover Black,57
Google NYC Campus Mug,56
Google Speckled Beanie Navy,55
Google NYC Campus Zip Hoodie,50
Google Land & Sea Mug,50
YouTube Twill Sandwich Cap Black,50
Google Men's Tech Fleece Grey,49
Android SM S/F18 Sticker Sheet,46
Noogler Android Figure,46
Google Crewneck Sweatshirt Grey,45
Google Magnet,45
Google Navy Speckled Tee,44
YouTube Icon Tee Charcoal,44
Google Toddler FC Zip Hoodie,43
Google Pen White,43
Google Glass Bottle,43
Google Leather Strap Hat Blue,43
Google Dino Game Tee,43
Google Men's Tech Fleece Vest Charcoal,42
Google Austin Campus Mug,42
Gift Card - $25.00,41
YouTube Jotter Task Pad,40
Womens Google Striped LS,40
Google Mural Sticker Sheet,39
Google Light Pen Blue,39
Google Crew Combed Cotton Sock,39
Google Black Cork Journal,39
Google Campus Bike,38
Google Woodtop Bottle Black,38
Google Seattle Campus Mug,38
Google Speckled Beanie Grey,37
Google Crew Striped Athletic Sock,36
YouTube Play Mug,36
YouTube Icon Tee Grey,35
Google Chicago Campus Mug,35
Google LA Campus Mug,34
Google Men's Puff Jacket Black,33
Google Light Pen Red,33
Google Land & Sea Journal Set,32
Android Pocket Tee Navy,32
Google Crewneck Sweatshirt Green,32
Google Mural Mug,32
Google Utility Bag Grey,31
Google PNW Campus Mug,31
Google Thermal Tumbler Navy,31
Google Large Tote White,31
Google Campus Bike Tote Navy,31
Google Women's Grid Zip-Up,31
Google Toddler FC Tee Charcoal,31
#IamRemarkable Unisex T-Shirt,29
Google Light Pen Green,28
Google Utility BackPack,28
Keyboard DOT Sticker,28
Google Large Standard Journal Grey,28
Maze Pen,28
Google Youth Hero Tee Grey,28
Google Recycled Pen Black,27
Google Packable Bag Black,27
Google Clear Framed Blue Shades,26
Google Super G Tumbler (Red Lid),26
Google F/C Longsleeve Charcoal,25
Google Incognito Techpack V2,25
Google Soft Modal Scarf,25
Google Emoji Sticker Pack,25
Google Women's Microfleece Jacket Black,25
Google Mural Sticky Note Pad,25
Google Blue Kids Sunglasses,24
Android Buoy Bottle,24
Google Cloud Pen,24
Google Land & Sea Nalgene Water Bottle,24
Google KeepCup,24
Google Mural Socks,24
Google Hemp Tote,24
#IamRemarkable Unisex Hoodie,23
Google Beekeepers Tee Mint,23
Google Pen Bright Blue,23
Google PNW Campus Zip Hoodie,23
Google Women's Puff Jacket Black,23
Google Keychain,23
Google Mouse Pad Navy,23
Google Cotopaxi Shell,23
Google Chrome Dinosaur Collectible,23
Google LA Campus Sticker,23
Google SF Campus Zip Hoodie,23
Google Pen Citron,22
Google Sherpa Zip Hoodie Charcoal,22
Android Large Removable Sticker Sheet,22
Google Blue Stojo Cup,21
Google NYC Campus Sticker,21
Google Emoji Magnet Set,21
Google Seaport Tote,21
Google Infant Hero Tee Olive,21
Google Land & Sea French Terry Sweatshirt,21
YouTube Leather Strap Hat Black,20
Google Men's Softshell Moss,20
Google 24oz Ring Bottle Blue,20
Google Campus Bike Bottle,20
Google Bot,20
Google Land & Sea Tote Bag,20
Google Cambridge Campus Mug,20
