month,product_name,brand,category,total_sales,total_revenue,status
2019-01,JeansXL 515 Blue jeans cargo short 3XL - 6XL Big & Tall,JeansXL,Shorts,1,42.95,Complete
2019-02,Twelfth Street by Cynthia Vincent Women's Leather Placket Bell Sleeve,Twelfth Street by Cynthia Vincent,Tops & Tees,1,275.0,Complete
2019-03,Weatherproof 3-in-1 Systems Jacket,Weatherproof,Outerwear & Coats,1,154.73,Complete
2019-04,Joseph Abboud Men's Super 120's Two Button Side Vent Single Pleat Pant Tuxedo With Grosgrain Notch Lapel,Joseph Abboud,Suits & Sport Coats,1,405.26,Complete
2019-05,Joe's Jeans Men's Big-Tall Athlete Relaxed Fit,Joe's Jeans,Jeans,1,189.0,Complete
2019-06,Barbour Storm Half Zip Sweater Navy,Barbour,Sweaters,1,299.99,Complete
2019-07,Helly Hansen Velocity Insulated Ski Jacket Mens,Helly Hansen,Outerwear & Coats,1,280.0,Complete
2019-08,Huntmaster Cashmere Sweater,Orvis,Sweaters,1,269.0,Complete
2019-09,Diesel Men's Jimeneo Jacket,Diesel,Suits & Sport Coats,1,698.0,Complete
2019-10,Mountain Hardwear Men's Nitrous Vest,Mountain Hardwear,Sweaters,2,350.0,Complete
2019-11,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,Jordan,Outerwear & Coats,1,903.0,Complete
2019-12,Spiewak The Plymouth Jacket in Brown Caramel,Spiewak,Outerwear & Coats,1,255.0,Complete
2020-01,Canada Goose Men's Lodge Down Hoody,Canada Goose,Outerwear & Coats,1,450.0,Complete
2020-02,Diesel Men's Shioner Skinny Straight Leg Jean,Diesel,Jeans,1,368.0,Complete
2020-03,BCBGMAXAZRIA Women's Vallissa Geometric Sequin Shift Dress,BCBGMAXAZRIA,Dresses,1,378.0,Complete
2020-04,District Threads Distressed Military Style Twill Hat. Dt605,District Threads,Accessories,2,29.98,Complete
2020-05,Paul Fredrick Striped Linen Double-Breasted Suit,Paul Fredrick,Suits & Sport Coats,1,424.5,Complete
2020-06,Columbia Men's Silver Ridge Vest,Columbia,Active,2,140.0,Complete
2020-07,Arc'teryx Men's Alpha SL Hybrid Jacket,Arc'teryx,Outerwear & Coats,1,339.0,Complete
2020-08,Arc'teryx Alpha FL Jacket - Men's,Arc'teryx,Outerwear & Coats,1,399.0,Complete
2020-09,Heavenly Shapewear Women's Wear Your Own Bra Seamless Long Leg Bodysuit,Heavenly Shapewear,Intimates,2,50.4,Complete
2020-10,Jax Women's Tucked Front Dress,Jax,Dresses,2,316.0,Complete
2020-11,Canada Goose Men's Lodge Jacket,Canada Goose,Outerwear & Coats,1,400.0,Complete
2020-12,WeSC Men's Eddy Chino Pant,WESC,Pants,2,139.9,Complete
2021-01,Icebreaker Men's Hike Lite Crew 2 Pack,Icebreaker,Socks,2,70.0,Complete
2021-02,Pendleton Women's Petite Emilie Embroidered Cardigan,Pendleton,Sweaters,2,252.0,Complete
2021-03,Brixton Men's Cass Snap Jacket,Brixton,Outerwear & Coats,2,139.9,Complete
2021-04,Danskin Women's Water Mark Print Tank,Danskin,Active,2,50.0,Complete
2021-05,Only Hearts Women's I Heart Tapestry Legging,Only Hearts,Leggings,2,99.8,Complete
2021-06,The North Face Womens Denali Hoodie Pink Pearl Size Small,The North Face,Outerwear & Coats,2,340.5,Complete
2021-07,KAMALIKULTURE Women's Single Breasted Blazer,KAMALIKULTURE,Blazers & Jackets,2,156.0,Complete
2021-08,True Religion Men's Billy Boot Cut Jean,True Religion,Jeans,2,358.0,Complete
2021-09,Calvin Klein Jeans Women's Lean Boot Cut,Calvin Klein Jeans,Jeans,2,159.0,Complete
2021-10,Le Mystere Isabella All Over Lace Bra Sets Thong 2 Piece Memory Form Gift Idea B C or D Cups,Le Mystere,Intimates,2,159.98,Complete
2021-11,Lilly Pulitzer Women's Noelle Tunic,Lilly Pulitzer,Tops & Tees,2,196.0,Complete
2021-12,Michael Kors Men's Stretch Flannel Slim Fit Pant,Michael Kors,Pants,2,235.98,Complete
2022-01,Levi's Men's Leather Racer Jacket,Levi's,Outerwear & Coats,2,579.99,Complete
2022-02,Rock Revival - Mens Andre Straight Leg Jeans in Denim Color T8,Rock Revival,Jeans,2,239.9,Complete
2022-03,Kasper 3 Piece Cape Cod Pant Suit,Kasper,Suits,2,392.36,Complete
2022-04,Evanese Women's Elegant Long Dress with 3/4 Sleeves,Evanese,Dresses,2,220.0,Complete
2022-05,Miraclebody Prima Pleated Back Top,Miraclesuit,Leggings,2,192.0,Complete
2022-06,Fred Perry Men's Shawl Neck Sweater,Fred Perry,Sweaters,2,227.8,Complete
2022-07,KAMALIKULTURE Women's Racer Maxi Gown,KAMALIKULTURE,Dresses,2,198.0,Complete
2022-08,Ibex Men's Shak Lite 1/2 Zip Jacket,Ibex,Active,3,405.0,Complete
2022-09,Columbia Men's City Trek II Jacket,Columbia,Outerwear & Coats,2,171.96,Complete
2022-10,Blue Juice Women's Native Geo V-Neck Top,Blue Juice,Tops & Tees,2,192.0,Complete
2022-11,IGIGI by Yuliya Raquel Plus Size Kandinsky Gown,IGIGI by Yuliya Raquel,Dresses,2,650.0,Complete
2022-12,Hanro Men's City Short Pajama Set,Hanro,Sleep & Lounge,2,370.0,Complete
2023-01,BLACK BLOUSE GAUCHO PALAZZO SET ASYM - FITS (ONE SIZE) - L XL 1X - G104S LOTUSTRADERS,LOTUSTRADERS,Clothing Sets,2,115.98,Complete
2023-02,Sutton Studio Velvet Jacket,Sutton Studio,Blazers & Jackets,2,179.98,Complete
2023-03,True Religion Men's Bobby Zipper Jean,True Religion,Jeans,2,554.0,Complete
2023-04,Bear Grylls Men's Freedom Jacket by Craghoppers,Bear Grylls,Outerwear & Coats,2,319.9,Complete
2023-05,AK Anne Klein Women's Plus Size Lace Slim Skirt,Anne Klein,Skirts,2,278.0,Complete
