"order_id","customer_id","pizza_id","order_time","order_item"
1,101,1,"2021-01-01 18:05:02",Meatlovers
2,101,1,"2021-01-01 19:00:52",Meatlovers
3,102,1,"2021-01-02 23:51:23",Meatlovers
3,102,2,"2021-01-02 23:51:23",Vegetarian
4,103,1,"2021-01-04 13:23:46",Meatlovers - Exclude: Cheese
4,103,1,"2021-01-04 13:23:46",Meatlovers - Exclude: Cheese
4,103,2,"2021-01-04 13:23:46",Vegetarian - Exclude: Cheese
5,104,1,"2021-01-08 21:00:29",Meatlovers - Extra: Bacon
6,101,2,"2021-01-08 21:03:13",Vegetarian
7,105,2,"2021-01-08 21:20:29",Vegetarian - Extra: Bacon
8,102,1,"2021-01-09 23:54:33",Meatlovers
9,103,1,"2021-01-10 11:22:59","Meatlovers - Exclude: Cheese - Extra: Bacon, Chicken"
10,104,1,"2021-01-11 18:34:49",Meatlovers
10,104,1,"2021-01-11 18:34:49","Meatlovers - Exclude: BBQ Sauce, Mushrooms - Extra: Bacon, Cheese"
