table_name,description
AIRCRAFT_INDEX,"The Aircraft Index table details the various aircraft models used by carriers, including their unique identification codes, names, and associated attributes such as aircraft group and cabin configuration."
AIRPORT_INDEX,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information."
DATACOMMONS_ATTRIBUTES,"Demographic, economic, government spending, and environmental statistics at national, state, county, and municipal levels, aggregated by Data Commons.

Data Commons is an open source project that integrates data from various public sources to power contextual Google Search. Data Commons covers a variety of topics including demographic, economic, government spending, and environmental statistics at national, state, county, and municipal levels.

Provides a wide format breakdown of variables included in the datacommons_timeseries table."
DATACOMMONS_TIMESERIES,"Demographic, economic, government spending, and environmental statistics at national, state, county, and municipal levels, aggregated by Data Commons.

Data Commons is an open source project that integrates data from various public sources to power contextual Google Search. Data Commons covers a variety of topics including demographic, economic, government spending, and environmental statistics at national, state, county, and municipal levels. This data primarily revolves around geographic entities from the national, state, county, municipal, zip code, and census tract levels.

Each row represents a distinct timeseries, date, and value by geographic entity. Each variable is detailed in the datacommons_attributes table."
EUROPEAN_CENTRAL_BANK_ATTRIBUTES,"Consumer price indices, residential property prices, and valuations for European countries and country groups, provided by the European Central Bank.

The European Central Bank (ECB) is a central institution of the Eurozone, primarily responsible for managing the euro and framing and implementing EU economic & monetary policy. Our ECB data covers the following: (1) Consumer Price Indices for a wide range of consumer goods, (2) Residential Property Prices, and (3) Residential Property Valuations. Data is provided for European countries as well as the European country groups.

Provides a wide format breakdown of variables included in the european_central_bank_timeseries table."
FBI_CRIME_TIMESERIES,"Estimated crime statistics for both state and national levels in the US from the FBI.

The FBI, or Federal Bureau of Investigation, is the principal federal law enforcement agency in the United States, tasked with investigating and enforcing federal laws. Data includes crime totals across the nation and its 50 states from 1979.

Each row represents a distinct timeseries, date, and value by geographic entity. Each variable is detailed in the fbi_crime_attributes table."
FEDERAL_RESERVE_ATTRIBUTES,"Borrowing patterns, credit card debt, commercial paper, finance companies, industrial production, capacity utilization, assets, liabilities, and net worth in the US, provided by the Fed.

The Federal Reserve, often referred to as the Fed, is the central banking system of the US. The data details (1) Consumer Credit - borrowing patterns, credit card debt, and other forms of consumer loans, (2) Commercial Paper - a short-term debt instrument used by corporations for financing, (3) health and activity of Finance Companies, (4) Industrial Production and Capacity Utilization of the manufacturing sector, and (5) US Financial Accounts - assets, liabilities, and net worth.

Provides a wide format breakdown of variables included in the federal_reserve_timeseries table."
INTERNATIONAL_LABOUR_ORGANIZATION_ATTRIBUTES,"Global labor market data on employment, unemployment, labor force participation, and other measures broken down by demographic and economic characteristics, provided by the International Labour Organization (ILO).

The International Labour Organization (ILO), a specialized international agency of the United Nations focused on human and labor rights, offers data on various aspects of the labor market, including employment, unemployment, labor force participation, and other measures of labor market status and trends. The model estimates they provide cover parameters such as sex, age, settlement classification, employment status, occupation, economic activity, and economic class. 

Provides a wide format breakdown of variables included in the international_labour_organization_timeseries table. The ILO Series ID is provided for reference."
US_DEPARTMENT_OF_AGRICULTURE_COMMODITIES_ATTRIBUTES,"Global agricultural commodity production, supply, and distribution (PSD), as reported by the US Department of Agriculture (USDA); includes area harvested, production, imports, exports, and consumption for commodities.

Managed by the USDA's Foreign Agricultural Service (FAS), it covers a wide range of commodities, including grains, oilseeds, fruits, and vegetables. This data covers both calendar years (running from January 1st to December 31st) and marketing years. Marketing years typically begin in the month when the harvest of a particular crop starts and end before the beginning of the next year's harvest. This period can vary significantly among different crops and countries, depending on when these crops are sown and harvested. The specific starting month of the marketing year for each crop is essential because it affects how production, stocks, and trade are accounted for and compared year-over-year. Marketing years are used to better align the supply and demand statistics of a commodity with its normal production cycle. Additionally, the USDA's Export Sales Reporting (ESR) data provides weekly updates on the export sales activity of major commodities, further enhancing the understanding of market dynamics within these defined marketing years.

Provides a wide format breakdown of variables included in the us_department_of_agriculture_commodities_timeseries table."
US_DEPARTMENT_OF_LABOR_UNEMPLOYMENT_INSURANCE_CLAIMS_TIMESERIES,"Initial and continued unemployment insurance claims in the US and each state, released weekly by the US Department of Labor to track US unemployment trends.

The US Department of Labor provides weekly data on Unemployment Insurance (UI) claims. The data is used in the economic analysis of unemployment trends in the nation, and in each state. Initial claims measure emerging unemployment and continued weeks claimed measure the number of persons claiming unemployment benefits.

Each row represents a distinct timeseries, date, and value by geographic entity. Each variable is detailed in the us_department_of_labor_unemployment_insurance_claims_attributes table."
