total_count,assignee_name,cnt,filing_year,countries
1495,LELY NV C VAN DER,261,1975,GB
599,DEERE & CO,34,1979,DK
300,INT HARVESTER CO,13,1940,US
258,AMAZONEN WERKE DREYER H,19,1989,DE
225,RABEWERK CLAUSING HEINRICH,19,1977,FR
218,PATENT CONCERN NV,80,1979,GB
184,HONDA MOTOR CO LTD,44,2003,CN
179,LEMKEN GMBH & CO KG,20,2011,EP
139,KUHN SA,14,2001,EP
122,CNH IND AMERICA LLC,30,2020,US
121,LEMKEN KG PFLUGFAB,10,1954,DE
119,BETEK GMBH & CO KG,28,2016,DE
112,LELY CORNELIS V D,27,1976,US
108,ROTARY HOES LTD,17,1969,GB
104,TEXAS INDUSTRIES INC,17,1965,GB
91,LS MTRON LTD,21,2019,KR
83,KVERNELAND KLEPP AS,12,1998,DE
75,KVERNELAND GROUP OPERATIONS NORWAY AS,39,2014,WO
71,KUBOTA KK,12,2018,KR
67,RANSOMES SIMS & JEFFERIES LTD,22,1978,NL
