month,product_name,brand,category,total_sales,total_revenue,status
2019-01,Stohlquist Men's Long Sleeve P2 Insulated Shirt,Stohlquist,Swim,1,46.8,Complete
2019-02,Carhartt Men's Ripstop Active Jac Quilt Lined,Carhartt,Outerwear & Coats,1,89.95,Complete
2019-03,Icebreaker Men's Sierra Vest,Icebreaker,Outerwear & Coats,1,140.0,Complete
2019-04,Carhartt Men's Tall Duck Traditional Coat,Carhartt,Outerwear & Coats,1,134.95,Complete
2019-05,Eva Franco Women's Alexa V-Neck Dress,Eva Franco,Dresses,1,270.0,Complete
2019-06,Bill's Khakis Vinatge Twill Pants,Bill's Khakis,Pants,1,145.0,Complete
2019-07,Ibex Women's Pez Lng Sweater,Ibex,Active,1,225.0,Complete
2019-08,EARNEST SEWN DENIM Men's Fulton Slim Fit Jean,Earnest Sewn,Jeans,1,265.0,Complete
2019-09,Zero Restriction Men's Featherweight Traveler Jacket Removable Sleeve Rain Jacket,Zero Restriction,Outerwear & Coats,1,395.0,Complete
2019-10,Zero Restriction Men's Featherweight Traveler Jacket Removable Sleeve Rain Jacket,Zero Restriction,Outerwear & Coats,1,395.0,Complete
2019-11,Joe's Jeans Women's Yasmin Skinny Jean,Joe's Jeans,Jeans,2,338.0,Complete
2019-12,Jones New York Women's No Closure Jacket,Jones New York,Blazers & Jackets,1,249.0,Complete
2020-01,Calvin Klein Women's Plus-Size Women's Graphic Tunic,Calvin Klein,Plus,2,199.0,Complete
2020-02,Mountain Hardwear Men's Ghost Whisperer Down Jacket,Mountain Hardwear,Outerwear & Coats,1,285.0,Complete
2020-03,Trina Turk Women's Pasha Pant,Trina Turk,Pants & Capris,1,288.0,Complete
2020-04,Kenneth Cole New York Men's 2 Piece Suit,Kenneth Cole New York,Suits & Sport Coats,1,389.99,Complete
2020-05,Barbour Classic Bedale Jacket / Barbour Active Classic Bedale Jacket,Barbour,Outerwear & Coats,1,379.0,Complete
2020-06,AIR JORDAN DOMINATE SHORTS MENS 465071-100,Jordan,Shorts,1,903.0,Complete
2020-07,HALSTON HERITAGE Women's Sleeveless V-Neck Faille Dress,Halston Heritage,Dresses,1,495.0,Complete
2020-08,Regency New York Men's Smoking Jacket Bartholomew Navy,Regency New York,Sleep & Lounge,1,399.95,Complete
2020-09,Mountain Hardwear Men's Chillwave Down Parka,Mountain Hardwear,Outerwear & Coats,1,375.0,Complete
2020-10,United Face Womens Black Fox Fur Trim Hooded Leather Coat,United Face,Outerwear & Coats,1,339.0,Complete
2020-11,RVCA Men's Daggers Denim Pant,RVCA,Jeans,2,136.95,Complete
2020-12,A Pea in the Pod: Pea Control Nursing Cami,A Pea in the Pod,Maternity,2,78.0,Complete
2021-01,Dickies - 13'' Multi-Pocket Work Short - Royal Blue,Dickies,Shorts,2,106.0,Complete
2021-02,Silver Jeans Juniors Berkeley Straight Leg Jean,Silver Jeans,Jeans,2,164.0,Complete
2021-03,Woman Within Plus Size Top sweatshirt in cozy light sherpa fleece,Woman Within,Tops & Tees,2,49.98,Complete
2021-04,Carhartt Men's Sandstone Sierra Jacket,Carhartt,Outerwear & Coats,2,269.9,Complete
2021-05,Christopher Fischer Women's 100% Cashmere Long-Sleeve Striped Dip-Dyed Ballet-Neck Sweater,Christopher Fischer,Sweaters,2,288.0,Complete
2021-06,Yoana Baraschi Women's Apres Tennis Boyfriend Blazer,Yoana Baraschi,Blazers & Jackets,2,686.0,Complete
2021-07,United Face Mens Hooded Reversible Leather Bomber Jacket,United Face,Outerwear & Coats,2,498.0,Complete
2021-08,Affliction-Men Jeans Cooper Raw Edge Vseam Embroidered Anchorage Boot Leg,Affliction,Jeans,2,270.0,Complete
2021-09,Nautica Men's Competition Down Vest,Nautica,Outerwear & Coats,2,181.14,Complete
2021-10,Blank Long Cuff Beanie Cap (Choose Many Colors Available),Star,Plus,3,5.46,Complete
2021-11,Christopher Fischer Women's 100% Cashmere Colorblock Shawl Collar Sweater,Christopher Fischer,Sweaters,2,240.0,Complete
2021-12,Lacoste Pull Over Fleece Hoody With Applique Croc,Lacoste,Fashion Hoodies & Sweatshirts,2,340.02,Complete
2022-01,Calvin Klein Jeans Men's Platinum Rocker,Calvin Klein Jeans,Jeans,2,159.0,Complete
2022-02,American Apparel Dark Wash High-Waist Jean,American Apparel,Jeans,2,160.0,Complete
2022-03,Ray-Ban Unisex RB4021P Polarized Sunglasses,Ray-Ban,Accessories,2,179.56,Complete
2022-04,Eberjey New Lady Godiva Camisole (C1016),Eberjey,Intimates,2,116.0,Complete
2022-05,G-Star Men's Cl New Blazer,G-Star,Suits & Sport Coats,2,720.0,Complete
2022-06,Ed Hardy Womens Lounge Dedicated Heather Hoodie - Mustard,Ed Hardy,Fashion Hoodies & Sweatshirts,2,138.0,Complete
2022-07,Mens Pure Cashmere Slipover Tanktop,Oxfords Cashmere,Sweaters,2,398.0,Complete
2022-08,Not Your Daughter's Jeans Women's Marilyn Straight Leg Jean,Not Your Daughter's Jeans,Jeans,2,220.0,Complete
2022-09,Oakley Eyepatch 2 Rectangular Sunglasses,Oakley,Accessories,2,200.0,Complete
2022-10,New 575 Denim Men's Jeans Dark Wash Relaxed Straight Leg M3NY01DRK-GNNVY,575 Denim,Jeans,2,179.98,Complete
2022-11,Joseph Abboud Men's Blend 2 Button Side Vent Soft Construction Sport Coat,Joseph Abboud,Suits & Sport Coats,2,714.0,Complete
2022-12,AG Adriano Goldschmied Men's Hero Relaxed Fit Jean,AG Adriano Goldschmied,Jeans,2,288.99,Complete
2023-01,Mountain Hardwear Men's Chillwave Down Parka,Mountain Hardwear,Outerwear & Coats,2,750.0,Complete
2023-02,Not Your Daughter's Jeans Women's Petite Sheri Skinny Leg Jean,Not Your Daughter's Jeans,Jeans,2,260.0,Complete
2023-03,Smartwool Men's Sportknit Half Zip Shirt,SmartWool,Tops & Tees,2,284.54,Complete
2023-04,Jones New York Men's Athletic Fit Suit,Jones New York,Suits & Sport Coats,2,559.98,Complete
