month,year,Product_category,TPV,TPO,Lagged_TPV,Lagged_TPO,Revenue_growth,Order_growth,Total_cost,Total_profit,Profit_to_cost_ratio
05,2019,Skirts,39.9900016784668,1,,,,,7656.76,-7616.77,0.52
06,2020,Skirts,162.47999954223633,3,60.970001220703125,1,166.49,200.0,7656.76,-7494.28,2.12
12,2022,Skirts,826.8500022888184,15,330.64000511169434,8,150.08,87.5,7656.76,-6829.91,10.8
06,2020,Plus,533.9700050354004,5,216.97000122070312,5,146.1,0.0,14595.76,-14061.79,3.66
10,2020,Maternity,299.9699993133545,5,245.00000047683716,6,22.44,-16.67,20134.59,-19834.62,1.49
11,2022,Suits,475.12001037597656,3,269.12999725341797,2,76.54,50.0,13194.37,-12719.25,3.6
12,2019,Fashion Hoodies & Sweatshirts,385.29999351501465,7,440.910005569458,10,-12.61,-30.0,51880.44,-51495.14,0.74
02,2020,Fashion Hoodies & Sweatshirts,532.069995880127,7,506.3499984741211,9,5.08,-22.22,51880.44,-51348.37,1.03
01,2020,Leggings,14.43000030517578,1,82.07999897003174,4,-82.42,-75.0,9184.11,-9169.68,0.16
09,2020,Blazers & Jackets,56.18000030517578,2,528.2900085449219,3,-89.37,-33.33,19697.3,-19641.12,0.29
08,2020,Intimates,572.4300012588501,15,476.90000200271606,17,20.03,-11.76,42351.29,-41778.86,1.35
11,2020,Sweaters,1126.6500034332275,16,1071.5,9,5.15,77.78,62684.14,-61557.49,1.8
03,2020,Underwear,118.70000076293945,5,192.14999961853027,7,-38.23,-28.57,13897.71,-13779.01,0.85
02,2022,Underwear,465.1100015640259,18,679.6500043869019,24,-31.57,-25.0,13897.71,-13432.6,3.35
05,2020,Sleep & Lounge,557.589994430542,15,479.4099998474121,10,16.31,50.0,42903.37,-42345.78,1.3
11,2022,Sleep & Lounge,2179.840008020401,44,1457.0700178146362,35,49.6,25.71,42903.37,-40723.53,5.08
07,2021,Outerwear & Coats,2773.370002746582,26,2394.280002593994,17,15.83,52.94,92269.41,-89496.04,3.01
02,2019,Socks,15.0,1,,,,,11152.46,-11137.46,0.13
08,2019,Socks,45.21000099182129,3,30.989999771118164,2,45.89,50.0,11152.46,-11107.25,0.41
10,2021,Socks,187.17000007629395,10,96.72999858856201,7,93.5,42.86,11152.46,-10965.29,1.68
07,2022,Socks,515.3600025177002,24,446.8100006580353,23,15.34,4.35,11152.46,-10637.1,4.62
06,2019,Suits & Sport Coats,279.9800109863281,2,79.94999694824217,1,250.19,100.0,37540.93,-37260.95,0.75
10,2021,Suits & Sport Coats,1468.7399940490723,13,1026.0999956130981,11,43.14,18.18,37540.93,-36072.19,3.91
12,2022,Suits & Sport Coats,1265.2999954223633,14,2817.96000289917,16,-55.1,-12.5,37540.93,-36275.63,3.37
06,2019,Swim,196.9199981689453,3,65.0,1,202.95,200.0,51938.09,-51741.17,0.38
08,2020,Swim,796.1299953460693,11,705.4300022125244,10,12.86,10.0,51938.09,-51141.96,1.53
02,2021,Swim,805.3400020599365,12,885.6500110626221,12,-9.07,0.0,51938.09,-51132.75,1.55
03,2022,Swim,1962.950005531311,27,1479.9100036621094,21,32.64,28.57,51938.09,-49975.14,3.78
07,2022,Swim,1899.8399925231934,27,2623.200002670288,49,-27.58,-44.9,51938.09,-50038.25,3.66
02,2022,Jeans,3052.5799884796143,25,3100.1199893951416,31,-1.53,-19.35,104775.99,-101723.41,2.91
11,2020,Tops & Tees,589.2500009536743,17,468.93000316619873,12,25.66,41.67,43226.71,-42637.46,1.36
08,2022,Tops & Tees,1978.6599934101105,45,1787.0000066757202,35,10.73,28.57,43226.71,-41248.05,4.58
12,2021,Jumpsuits & Rompers,131.86999988555908,3,38.2400016784668,1,244.85,200.0,3912.26,-3780.39,3.37
04,2022,Skirts,183.8799991607666,6,141.48000144958496,5,29.97,20.0,7656.76,-7472.88,2.4
07,2022,Pants & Capris,450.990008354187,12,500.09000396728516,10,-9.82,20.0,17698.46,-17247.47,2.55
04,2022,Plus,487.7799940109253,14,281.85999965667725,11,73.06,27.27,14595.76,-14107.98,3.34
08,2019,Maternity,64.0,1,139.89999389648438,2,-54.25,-50.0,20134.59,-20070.59,0.32
09,2019,Maternity,59.959999084472656,2,64.0,1,-6.31,100.0,20134.59,-20074.63,0.3
01,2022,Maternity,818.1400012969971,18,828.0999965667725,17,-1.2,5.88,20134.59,-19316.45,4.06
12,2020,Fashion Hoodies & Sweatshirts,1069.9500045776367,20,794.7299995422363,14,34.63,42.86,51880.44,-50810.49,2.06
10,2021,Fashion Hoodies & Sweatshirts,1278.919997215271,24,1929.6300067901611,34,-33.72,-29.41,51880.44,-50601.52,2.47
11,2020,Leggings,37.9399995803833,2,42.98000144958496,2,-11.73,0.0,9184.11,-9146.17,0.41
06,2021,Leggings,204.19999885559082,7,59.8799991607666,4,241.02,75.0,9184.11,-8979.91,2.22
11,2022,Leggings,397.4699993133545,16,620.6100006103516,15,-35.95,6.67,9184.11,-8786.64,4.33
06,2020,Blazers & Jackets,180.20000171661377,4,214.4699993133545,2,-15.98,100.0,19697.3,-19517.1,0.91
08,2020,Blazers & Jackets,528.2900085449219,3,25.949999809265137,2,1935.8,50.0,19697.3,-19169.01,2.68
10,2022,Blazers & Jackets,1209.5900049209595,12,1542.1199970245361,18,-21.56,-33.33,19697.3,-18487.71,6.14
11,2022,Blazers & Jackets,1198.909999847412,14,1209.5900049209595,12,-0.88,16.67,19697.3,-18498.39,6.09
