month_year,product_id,product_name,sales,cost,profit
2019-01,18710,Champion S185 90/10 Cotton Max Quarter-Zip Hood,89.98999786376953,33.47627932869017,56.51371853507936
2019-02,3952,Zeilei 5896 Satin Red Animal Print One Shoulder Pageant Prom Dress,169.0,72.1629998665303,96.8370001334697
2019-03,24219,Diesel Men's Wiley Jacket,199.66000366210935,88.24972190538395,111.4102817567254
2019-04,20568,Paul Fredrick Performance 100% Wrinkle \ Stain Resistant Wool Suit,424.5,164.2814992535859,260.21850074641407
2019-05,20450,7 For All Mankind Men's Ombre Plaid Blazer,398.0,151.23999958485365,246.76000041514635
2019-06,23989,The North Face Freedom Mens Ski Pants 2013,903.0,369.3270016685128,533.6729983314872
2019-07,23546,Alpha Industries Rip Stop Short,999.0,482.51699907705193,516.4830009229481
2019-08,1378,Pendleton The Portland Collection Women's Coos Curry Cardigan,264.6700134277344,112.74942546780584,151.92058795992853
2019-09,20420,Paul Fredrick Herringbone Wool Blend Double-Breasted Suit,424.5,171.92249932000414,252.57750067999586
2019-10,8435,Arc'teryx Women's Caliber Cardigan,699.0,342.50999885424966,356.49000114575034
2019-11,3121,Robert Rodriguez Women's Lace V-Neck Tiered Dress,495.0,200.96999974921343,294.03000025078654
2019-12,20013,Ben Sherman Men's Side Vent 2 Piece Suit,495.0,220.76999930664897,274.23000069335103
2020-01,8300,Canada Goose Women's Expedition Parka,795.0,395.90999973937863,399.09000026062137
2020-02,23908,Alpha Industries A-2 Leather Jacket,425.0,187.00000056996944,237.99999943003056
2020-03,24071,Men's Andrew Marc Nucky Lambskin Leather Bomber Jacket with Sheepskin Collar,479.0,205.9700007494539,273.0299992505461
2020-04,24110,Woolrich Arctic Parka DF,990.0,478.17000277340406,511.82999722659594
2020-05,8261,Jones New York Women's Hidden Snap Notch Collar Coat,599.0,253.37699913419783,345.62300086580217
2020-06,23646,Diesel Men's Lophophora Leather Jacket,898.0,408.59000090323383,489.40999909676617
2020-07,2796,ASCIS Cushion Low Socks (Pack of 3),903.0,373.8420015675947,529.1579984324053
2020-08,24283,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,903.0,370.23000181652606,532.769998183474
2020-09,20013,Ben Sherman Men's Side Vent 2 Piece Suit,495.0,220.76999930664897,274.23000069335103
2020-10,24083,Diesel Men's Lisardo Jacket,758.0,335.0360010885633,422.9639989114367
2020-11,23654,The North Face Apex Bionic Soft Shell Jacket - Men's,903.0,363.0060023143888,539.9939976856112
2020-12,8429,The North Face Women's S-XL Oso Jacket,903.0,378.356999784708,524.643000215292
2021-01,2796,ASCIS Cushion Low Socks (Pack of 3),903.0,373.8420015675947,529.1579984324053
2021-02,24446,Arc'teryx Theta SV Jacket - Men's,1100.0,493.90000104904175,606.0999989509583
2021-03,8492,Women's Jane Sheepskin B-3 Bomber Jacket,595.0,279.0549991931766,315.9450008068234
2021-04,24110,Woolrich Arctic Parka DF,990.0,478.17000277340406,511.82999722659594
2021-05,23803,Canada Goose Men's The Chateau Jacket,815.0,378.1600012630224,436.8399987369776
2021-06,23646,Diesel Men's Lophophora Leather Jacket,1796.0,817.1800018064677,978.8199981935323
2021-07,23989,The North Face Freedom Mens Ski Pants 2013,903.0,369.3270016685128,533.6729983314872
2021-08,24447,Darla,999.0,404.5950011909008,594.4049988090992
2021-09,2559,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,903.0,403.64100224711,499.35899775289
2021-10,24205,Diesel Men's Lagnum Leather Jacket,598.0,267.9040010292083,330.0959989707917
2021-11,2793,adidas Women's adiFIT Slim Pant,903.0,375.648001443129,527.351998556871
2021-12,24341,Nobis Yatesy Parka,950.0,381.90000243484974,568.0999975651503
2022-01,23648,The North Face Apex Bionic Jacket - Men's,903.0,399.12600129679777,503.87399870320223
2022-02,23951,The North Face Nuptse 2 Jacket Deep Water Blue Mens,903.0,367.5210013724864,535.4789986275136
2022-03,24053,The North Face Denali Down Mens Jacket 2013,903.0,436.14900252968073,466.85099747031927
2022-04,2723,The North Face Denali Down Womens Jacket 2013,903.0,395.5140009149909,507.4859990850091
2022-05,20227,Joseph Abboud Men's 2 Button Side Vent Suit With Flat Front Pant,834.0,316.9199991300702,517.0800008699298
2022-06,8429,The North Face Women's S-XL Oso Jacket,903.0,378.356999784708,524.643000215292
