_pitcher
James Happ
Albertin Chapman
Albertin Chapman
Mauricio Cabrera
Arquimedes Caminero
Edwin Diaz
Carlos Martinez
Kenneth Giles
Felipe Rivero
Yordano Ventura
Brian Ellington
Joseph Kelly
Matthew Bush
Bruce Rondon
Noah Syndergaard
Carlos Estevez
Juan Ramirez
Hunter Strickland
Thomas Kahnle
Jose Dominguez
Pedro Baez
Dellin Betances
Enrique Burgos
Wily Peralta
Jon Chargois
Juan Ramirez
Kevin Gausman
Enny Romero
Andrew Miller
John Axford
Luis Garcia
Maxwell Scherzer
