avg_inventors,cnt,filing_year
1.2116093123277138,189727,1945
1.2774988589685066,190617,1950
1.352283486064813,227087,1955
1.4126704965852248,258143,1960
1.4887917403032285,311779,1965
1.6232918999638069,328801,1970
1.6962101612031963,351730,1975
1.7916531921774195,352518,1980
1.9625585884868368,452734,1985
2.1249887706725596,589973,1990
2.2897659871544245,895250,1995
2.4526697499374959,1435921,2000
2.5492637724007872,1753398,2005
2.7001997112180867,1970345,2010
2.8626998800053367,2250100,2015
3.053241235844772,1365220,2020
